"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","MacOS Tests: Chats Main Screen Tests","","0","0","18","4","0"
"","Message Attachments Tests","","0","0","23","0","0"
"","MacOS Tests: Files Screen Tests","","0","1","15","2","0"
"","Message Context Menu Tests","","0","0","14","0","0"
"","Message Input Tests","","0","0","11","9","0"
"","Chat Topbar Tests","","0","0","10","0","0"
"","Chat Replies Tests","","0","0","10","0","0"
"","MacOS Tests: Create Pin and Account Tests","","0","0","32","6","0"
"","Create Accounts and Chat Tests","","0","0","26","0","0"
"","Quick Profile Tests","","0","1","9","0","0"
