"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","MacOS Tests: Settings Profile Tests","","0","0","27","0","0"
"","Message Context Menu Tests","","0","0","12","0","0"
"","Create Accounts and Chat Tests","","0","0","25","0","0"
"","MacOS Tests: Settings Keyboard Shortcuts Tests","","0","1","11","0","0"
"","MacOS Tests: Settings Audio Tests","","0","0","6","0","0"
"","Message Input Tests","","0","0","9","9","0"
"","MacOS Tests: Chats Main Screen Tests","","0","0","18","4","0"
"","Chat Topbar Tests","","0","0","8","0","0"
"","Chat Replies Tests","","0","0","9","0","0"
"","MacOS Tests: Files Screen Tests","","0","0","31","3","0"
"","MacOS Tests: Create Pin and Account Tests","","0","0","32","6","0"
"","MacOS Tests: Settings Extensions Tests","","0","0","8","1","0"
"","Message Attachments Tests","","0","0","21","0","0"
"","MacOS Tests: Settings General Tests","","0","0","8","3","0"
"","Quick Profile Tests","","0","0","1","0","0"
"","MacOS Tests: Settings Message Tests","","0","0","4","0","0"
